Load of resource;Memory;Total proc. power;Tester
96,0000;51539607552,0000;0,0001;800,0000
72,0000;38654705664,0000;0,0001;600,0000
64,0000;34359738368,0000;0,0001;533,3333
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
64,0000;34359738368,0000;0,0001;533,3333
80,0000;42949672960,0000;0,0001;666,6667
96,0000;51539607552,0000;0,0001;800,0000
104,0000;55834574848,0000;0,0001;866,6667
120,0000;64424509440,0000;0,0002;1000,0000
136,0000;73014444032,0000;0,0002;1133,3333
144,0000;77309411328,0000;0,0002;1200,0000
160,0000;85899345920,0000;0,0002;1333,3333
176,0000;94489280512,0000;0,0002;1466,6667
184,0000;98784247808,0000;0,0002;1533,3333
192,0000;103079215104,0000;0,0002;1600,0000
200,0000;107374182400,0000;0,0003;1666,6667
216,0000;115964116992,0000;0,0003;1800,0000
232,0000;124554051584,0000;0,0003;1933,3333
248,0000;133143986176,0000;0,0003;2066,6667
256,0000;137438953472,0000;0,0003;2133,3333
264,0000;141733920768,0000;0,0003;2200,0000
272,0000;146028888064,0000;0,0003;2266,6667
288,0000;154618822656,0000;0,0004;2400,0000
296,0000;158913789952,0000;0,0004;2466,6667
312,0000;167503724544,0000;0,0004;2600,0000
312,0000;167503724544,0000;0,0004;2600,0000
304,0000;163208757248,0000;0,0004;2533,3333
280,0000;150323855360,0000;0,0004;2333,3333
264,0000;141733920768,0000;0,0003;2200,0000
256,0000;137438953472,0000;0,0003;2133,3333
224,0000;120259084288,0000;0,0003;1866,6667
216,0000;115964116992,0000;0,0003;1800,0000
200,0000;107374182400,0000;0,0003;1666,6667
176,0000;94489280512,0000;0,0002;1466,6667
168,0000;90194313216,0000;0,0002;1400,0000
144,0000;77309411328,0000;0,0002;1200,0000
128,0000;68719476736,0000;0,0002;1066,6667
112,0000;60129542144,0000;0,0001;933,3333
80,0000;42949672960,0000;0,0001;666,6667
64,0000;34359738368,0000;0,0001;533,3333
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
80,0000;42949672960,0000;0,0001;666,6667
96,0000;51539607552,0000;0,0001;800,0000
104,0000;55834574848,0000;0,0001;866,6667
112,0000;60129542144,0000;0,0001;933,3333
120,0000;64424509440,0000;0,0002;1000,0000
128,0000;68719476736,0000;0,0002;1066,6667
144,0000;77309411328,0000;0,0002;1200,0000
152,0000;81604378624,0000;0,0002;1266,6667
160,0000;85899345920,0000;0,0002;1333,3333
168,0000;90194313216,0000;0,0002;1400,0000
176,0000;94489280512,0000;0,0002;1466,6667
184,0000;98784247808,0000;0,0002;1533,3333
192,0000;103079215104,0000;0,0002;1600,0000
200,0000;107374182400,0000;0,0003;1666,6667
208,0000;111669149696,0000;0,0003;1733,3333
216,0000;115964116992,0000;0,0003;1800,0000
224,0000;120259084288,0000;0,0003;1866,6667
240,0000;128849018880,0000;0,0003;2000,0000
248,0000;133143986176,0000;0,0003;2066,6667
248,0000;133143986176,0000;0,0003;2066,6667
248,0000;133143986176,0000;0,0003;2066,6667
248,0000;133143986176,0000;0,0003;2066,6667
248,0000;133143986176,0000;0,0003;2066,6667
240,0000;128849018880,0000;0,0003;2000,0000
232,0000;124554051584,0000;0,0003;1933,3333
216,0000;115964116992,0000;0,0003;1800,0000
192,0000;103079215104,0000;0,0002;1600,0000
184,0000;98784247808,0000;0,0002;1533,3333
160,0000;85899345920,0000;0,0002;1333,3333
136,0000;73014444032,0000;0,0002;1133,3333
96,0000;51539607552,0000;0,0001;800,0000
88,0000;47244640256,0000;0,0001;733,3333
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
64,0000;34359738368,0000;0,0001;533,3333
80,0000;42949672960,0000;0,0001;666,6667
96,0000;51539607552,0000;0,0001;800,0000
104,0000;55834574848,0000;0,0001;866,6667
112,0000;60129542144,0000;0,0001;933,3333
120,0000;64424509440,0000;0,0002;1000,0000
128,0000;68719476736,0000;0,0002;1066,6667
144,0000;77309411328,0000;0,0002;1200,0000
152,0000;81604378624,0000;0,0002;1266,6667
160,0000;85899345920,0000;0,0002;1333,3333
168,0000;90194313216,0000;0,0002;1400,0000
176,0000;94489280512,0000;0,0002;1466,6667
192,0000;103079215104,0000;0,0002;1600,0000
200,0000;107374182400,0000;0,0003;1666,6667
208,0000;111669149696,0000;0,0003;1733,3333
224,0000;120259084288,0000;0,0003;1866,6667
240,0000;128849018880,0000;0,0003;2000,0000
248,0000;133143986176,0000;0,0003;2066,6667
256,0000;137438953472,0000;0,0003;2133,3333
272,0000;146028888064,0000;0,0003;2266,6667
272,0000;146028888064,0000;0,0003;2266,6667
272,0000;146028888064,0000;0,0003;2266,6667
272,0000;146028888064,0000;0,0003;2266,6667
272,0000;146028888064,0000;0,0003;2266,6667
256,0000;137438953472,0000;0,0003;2133,3333
248,0000;133143986176,0000;0,0003;2066,6667
224,0000;120259084288,0000;0,0003;1866,6667
208,0000;111669149696,0000;0,0003;1733,3333
192,0000;103079215104,0000;0,0002;1600,0000
160,0000;85899345920,0000;0,0002;1333,3333
152,0000;81604378624,0000;0,0002;1266,6667
120,0000;64424509440,0000;0,0002;1000,0000
112,0000;60129542144,0000;0,0001;933,3333
96,0000;51539607552,0000;0,0001;800,0000
88,0000;47244640256,0000;0,0001;733,3333
64,0000;34359738368,0000;0,0001;533,3333
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
72,0000;38654705664,0000;0,0001;600,0000
96,0000;51539607552,0000;0,0001;800,0000
112,0000;60129542144,0000;0,0001;933,3333
144,0000;77309411328,0000;0,0002;1200,0000
152,0000;81604378624,0000;0,0002;1266,6667
160,0000;85899345920,0000;0,0002;1333,3333
176,0000;94489280512,0000;0,0002;1466,6667
192,0000;103079215104,0000;0,0002;1600,0000
208,0000;111669149696,0000;0,0003;1733,3333
232,0000;124554051584,0000;0,0003;1933,3333
248,0000;133143986176,0000;0,0003;2066,6667
256,0000;137438953472,0000;0,0003;2133,3333
240,0000;128849018880,0000;0,0003;2000,0000
240,0000;128849018880,0000;0,0003;2000,0000
232,0000;124554051584,0000;0,0003;1933,3333
216,0000;115964116992,0000;0,0003;1800,0000
184,0000;98784247808,0000;0,0002;1533,3333
168,0000;90194313216,0000;0,0002;1400,0000
152,0000;81604378624,0000;0,0002;1266,6667
128,0000;68719476736,0000;0,0002;1066,6667
112,0000;60129542144,0000;0,0001;933,3333
80,0000;42949672960,0000;0,0001;666,6667
64,0000;34359738368,0000;0,0001;533,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
48,0000;25769803776,0000;0,0001;400,0000
64,0000;34359738368,0000;0,0001;533,3333
80,0000;42949672960,0000;0,0001;666,6667
88,0000;47244640256,0000;0,0001;733,3333
96,0000;51539607552,0000;0,0001;800,0000
112,0000;60129542144,0000;0,0001;933,3333
120,0000;64424509440,0000;0,0002;1000,0000
136,0000;73014444032,0000;0,0002;1133,3333
144,0000;77309411328,0000;0,0002;1200,0000
152,0000;81604378624,0000;0,0002;1266,6667
176,0000;94489280512,0000;0,0002;1466,6667
184,0000;98784247808,0000;0,0002;1533,3333
200,0000;107374182400,0000;0,0003;1666,6667
224,0000;120259084288,0000;0,0003;1866,6667
232,0000;124554051584,0000;0,0003;1933,3333
248,0000;133143986176,0000;0,0003;2066,6667
264,0000;141733920768,0000;0,0003;2200,0000
280,0000;150323855360,0000;0,0004;2333,3333
288,0000;154618822656,0000;0,0004;2400,0000
304,0000;163208757248,0000;0,0004;2533,3333
312,0000;167503724544,0000;0,0004;2600,0000
296,0000;158913789952,0000;0,0004;2466,6667
272,0000;146028888064,0000;0,0003;2266,6667
256,0000;137438953472,0000;0,0003;2133,3333
240,0000;128849018880,0000;0,0003;2000,0000
216,0000;115964116992,0000;0,0003;1800,0000
200,0000;107374182400,0000;0,0003;1666,6667
176,0000;94489280512,0000;0,0002;1466,6667
160,0000;85899345920,0000;0,0002;1333,3333
144,0000;77309411328,0000;0,0002;1200,0000
120,0000;64424509440,0000;0,0002;1000,0000
112,0000;60129542144,0000;0,0001;933,3333
88,0000;47244640256,0000;0,0001;733,3333
64,0000;34359738368,0000;0,0001;533,3333
56,0000;30064771072,0000;0,0001;466,6667
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
56,0000;30064771072,0000;0,0001;466,6667
80,0000;42949672960,0000;0,0001;666,6667
88,0000;47244640256,0000;0,0001;733,3333
104,0000;55834574848,0000;0,0001;866,6667
128,0000;68719476736,0000;0,0002;1066,6667
136,0000;73014444032,0000;0,0002;1133,3333
152,0000;81604378624,0000;0,0002;1266,6667
168,0000;90194313216,0000;0,0002;1400,0000
176,0000;94489280512,0000;0,0002;1466,6667
192,0000;103079215104,0000;0,0002;1600,0000
208,0000;111669149696,0000;0,0003;1733,3333
224,0000;120259084288,0000;0,0003;1866,6667
232,0000;124554051584,0000;0,0003;1933,3333
256,0000;137438953472,0000;0,0003;2133,3333
272,0000;146028888064,0000;0,0003;2266,6667
280,0000;150323855360,0000;0,0004;2333,3333
296,0000;158913789952,0000;0,0004;2466,6667
312,0000;167503724544,0000;0,0004;2600,0000
304,0000;163208757248,0000;0,0004;2533,3333
288,0000;154618822656,0000;0,0004;2400,0000
256,0000;137438953472,0000;0,0003;2133,3333
240,0000;128849018880,0000;0,0003;2000,0000
224,0000;120259084288,0000;0,0003;1866,6667
208,0000;111669149696,0000;0,0003;1733,3333
192,0000;103079215104,0000;0,0002;1600,0000
176,0000;94489280512,0000;0,0002;1466,6667
160,0000;85899345920,0000;0,0002;1333,3333
152,0000;81604378624,0000;0,0002;1266,6667
136,0000;73014444032,0000;0,0002;1133,3333
128,0000;68719476736,0000;0,0002;1066,6667
112,0000;60129542144,0000;0,0001;933,3333
104,0000;55834574848,0000;0,0001;866,6667
88,0000;47244640256,0000;0,0001;733,3333
80,0000;42949672960,0000;0,0001;666,6667
64,0000;34359738368,0000;0,0001;533,3333
56,0000;30064771072,0000;0,0001;466,6667
56,0000;30064771072,0000;0,0001;466,6667
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
48,0000;25769803776,0000;0,0001;400,0000
72,0000;38654705664,0000;0,0001;600,0000
88,0000;47244640256,0000;0,0001;733,3333
96,0000;51539607552,0000;0,0001;800,0000
112,0000;60129542144,0000;0,0001;933,3333
136,0000;73014444032,0000;0,0002;1133,3333
144,0000;77309411328,0000;0,0002;1200,0000
160,0000;85899345920,0000;0,0002;1333,3333
184,0000;98784247808,0000;0,0002;1533,3333
192,0000;103079215104,0000;0,0002;1600,0000
200,0000;107374182400,0000;0,0003;1666,6667
216,0000;115964116992,0000;0,0003;1800,0000
232,0000;124554051584,0000;0,0003;1933,3333
240,0000;128849018880,0000;0,0003;2000,0000
256,0000;137438953472,0000;0,0003;2133,3333
280,0000;150323855360,0000;0,0004;2333,3333
288,0000;154618822656,0000;0,0004;2400,0000
296,0000;158913789952,0000;0,0004;2466,6667
304,0000;163208757248,0000;0,0004;2533,3333
304,0000;163208757248,0000;0,0004;2533,3333
296,0000;158913789952,0000;0,0004;2466,6667
264,0000;141733920768,0000;0,0003;2200,0000
248,0000;133143986176,0000;0,0003;2066,6667
232,0000;124554051584,0000;0,0003;1933,3333
208,0000;111669149696,0000;0,0003;1733,3333
192,0000;103079215104,0000;0,0002;1600,0000
184,0000;98784247808,0000;0,0002;1533,3333
160,0000;85899345920,0000;0,0002;1333,3333
144,0000;77309411328,0000;0,0002;1200,0000
136,0000;73014444032,0000;0,0002;1133,3333
104,0000;55834574848,0000;0,0001;866,6667
96,0000;51539607552,0000;0,0001;800,0000
80,0000;42949672960,0000;0,0001;666,6667
72,0000;38654705664,0000;0,0001;600,0000
56,0000;30064771072,0000;0,0001;466,6667
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
40,0000;21474836480,0000;0,0001;333,3333
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
32,0000;17179869184,0000;0,0000;266,6667
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
24,0000;12884901888,0000;0,0000;200,0000
40,0000;21474836480,0000;0,0001;333,3333
48,0000;25769803776,0000;0,0001;400,0000
64,0000;34359738368,0000;0,0001;533,3333
80,0000;42949672960,0000;0,0001;666,6667
96,0000;51539607552,0000;0,0001;800,0000
112,0000;60129542144,0000;0,0001;933,3333
128,0000;68719476736,0000;0,0002;1066,6667
136,0000;73014444032,0000;0,0002;1133,3333
152,0000;81604378624,0000;0,0002;1266,6667
168,0000;90194313216,0000;0,0002;1400,0000
176,0000;94489280512,0000;0,0002;1466,6667
208,0000;111669149696,0000;0,0003;1733,3333
216,0000;115964116992,0000;0,0003;1800,0000
224,0000;120259084288,0000;0,0003;1866,6667
256,0000;137438953472,0000;0,0003;2133,3333
264,0000;141733920768,0000;0,0003;2200,0000
272,0000;146028888064,0000;0,0003;2266,6667
280,0000;150323855360,0000;0,0004;2333,3333
296,0000;158913789952,0000;0,0004;2466,6667
288,0000;154618822656,0000;0,0004;2400,0000
272,0000;146028888064,0000;0,0003;2266,6667
248,0000;133143986176,0000;0,0003;2066,6667
240,0000;128849018880,0000;0,0003;2000,0000
224,0000;120259084288,0000;0,0003;1866,6667
200,0000;107374182400,0000;0,0003;1666,6667
192,0000;103079215104,0000;0,0002;1600,0000
184,0000;98784247808,0000;0,0002;1533,3333
160,0000;85899345920,0000;0,0002;1333,3333
144,0000;77309411328,0000;0,0002;1200,0000
